Switzerland;SUIPA Competition;O18;Clément;Genot;GenotClément;23.09.2019;35;35;
Switzerland;SUIPA Competition;O18;Loris;Gomez;GomezLoris;22.04.2019;10;10;
Switzerland;SUIPA Competition;O18;Loris;Gomez;GomezLoris;23.09.2019;35;25;
Switzerland;SUIPA Competition;O18;Loris;Gomez;GomezLoris;03.02.2020;39;4;
Switzerland;SUIPA Competition;O18;Loris;Gomez;GomezLoris;03.02.2020;49;10;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;NatansonEdouard;09.09.2019;15;15;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;NatansonEdouard;23.09.2019;25;10;
Switzerland;SUIPA Competition;O18;Luca;Viola;ViolaLuca;26.08.2019;15;15;
Switzerland;SUIPA Competition;O18;Luca;Viola;ViolaLuca;09.09.2019;30;15;
Switzerland;SUIPA Competition;O18;Luca;Viola;ViolaLuca;23.09.2019;44;14;
Switzerland;SUIPA Competition;O18;Milo;Visinand;VisinandMilo;26.08.2019;35;35;
Switzerland;SUIPA Competition;O18;Milo;Visinand;VisinandMilo;09.09.2019;85;50;
Switzerland;SUIPA Competition;O45;Claude;Anker;AnkerClaude;09.09.2019;25;25;
Switzerland;SUIPA Competition;O45;Claude;Anker;AnkerClaude;23.09.2019;30;5;
Switzerland;SUIPA Competition;O45;Reto;Bertschi;BertschiReto;10.09.2018;99;99;
Switzerland;SUIPA Competition;O45;Reto;Bertschi;BertschiReto;09.09.2019;0;;-99
Switzerland;SUIPA Competition;O45;Niels Cain;Birkmose;BirkmoseNiels Cain;17.02.2020;250;250;
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;23.04.2018;25;25;
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;07.05.2018;60;35;
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;25.06.2018;160;100;
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;01.10.2018;210;50;
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;15.10.2018;215;5;
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;22.04.2019;190;;-25
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;27.05.2019;155;;-35
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;24.06.2019;55;;-100
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;02.09.2019;305;250;
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;02.09.2019;405;100;
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;30.09.2019;355;;-50
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;07.10.2019;505;150;
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;14.10.2019;500;;-5
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;18.11.2019;535;35;
Switzerland;SUIPA Competition;O45;Dale;Bof;BofDale;18.11.2019;785;250;
Switzerland;SUIPA Competition;O45;Rolando;Bove;BoveRolando;29.04.2019;100;100;
Switzerland;SUIPA Competition;O45;Rolando;Bove;BoveRolando;26.08.2019;115;15;
Switzerland;SUIPA Competition;O45;Rolando;Bove;BoveRolando;28.10.2019;130;15;
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;26.03.2018;35;35;
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;23.04.2018;70;35;
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;28.05.2018;105;35;
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;25.06.2018;205;100;
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;10.12.2018;355;150;
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;18.03.2019;390;35;
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;25.03.2019;355;;-35
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;22.04.2019;370;15;
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;22.04.2019;335;;-35
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;27.05.2019;300;;-35
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;24.06.2019;200;;-100
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;16.09.2019;205;5;
Switzerland;SUIPA Competition;O45;Claudia;Bräm;BrämClaudia;09.12.2019;55;;-150
Switzerland;SUIPA Competition;O45;Cindy;Cailler;CaillerCindy;29.04.2019;15;15;
Switzerland;SUIPA Competition;O45;Ramón;Carrasco;CarrascoRamón;24.06.2019;10;10;
Switzerland;SUIPA Competition;O45;Juan;Casanova;CasanovaJuan;17.09.2018;100;100;
Switzerland;SUIPA Competition;O45;Juan;Casanova;CasanovaJuan;11.03.2019;135;35;
Switzerland;SUIPA Competition;O45;Juan;Casanova;CasanovaJuan;08.04.2019;140;5;
Switzerland;SUIPA Competition;O45;Juan;Casanova;CasanovaJuan;29.04.2019;155;15;
Switzerland;SUIPA Competition;O45;Juan;Casanova;CasanovaJuan;16.09.2019;55;;-100
Switzerland;SUIPA Competition;O45;Marinelli;Cinzanio;CinzanioMarinelli;03.02.2020;40;40;
Switzerland;SUIPA Competition;O45;Barry;Coffey;CoffeyBarry;17.06.2019;150;150;
Switzerland;SUIPA Competition;O45;Barry;Coffey;CoffeyBarry;18.11.2019;250;100;
Switzerland;SUIPA Competition;O45;Alain;Cornuz;CornuzAlain;17.09.2018;50;50;
Switzerland;SUIPA Competition;O45;Alain;Cornuz;CornuzAlain;15.10.2018;105;55;
Switzerland;SUIPA Competition;O45;Alain;Cornuz;CornuzAlain;16.09.2019;55;;-50
Switzerland;SUIPA Competition;O45;Alain;Cornuz;CornuzAlain;14.10.2019;0;;-55
Switzerland;SUIPA Competition;O45;Jorge;Dejoz;DejozJorge;20.08.2018;100;100;
Switzerland;SUIPA Competition;O45;Jorge;Dejoz;DejozJorge;24.06.2019;115;15;
Switzerland;SUIPA Competition;O45;Jorge;Dejoz;DejozJorge;01.07.2019;140;25;
Switzerland;SUIPA Competition;O45;Jorge;Dejoz;DejozJorge;19.08.2019;40;;-100
Switzerland;SUIPA Competition;O45;Jorge;Dejoz;DejozJorge;02.09.2019;190;150;
Switzerland;SUIPA Competition;O45;Jorge;Dejoz;DejozJorge;16.09.2019;290;100;
Switzerland;SUIPA Competition;O45;Daniel;Díaz;DíazDaniel;03.02.2020;40;40;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;26.03.2018;100;100;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;26.03.2018;125;25;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;30.04.2018;225;100;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;07.05.2018;375;150;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;07.05.2018;475;100;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;17.09.2018;575;100;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;25.03.2019;475;;-100
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;25.03.2019;450;;-25
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;08.04.2019;555;105;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;29.04.2019;455;;-100
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;06.05.2019;305;;-150
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;06.05.2019;205;;-100
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;17.06.2019;455;250;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;01.07.2019;505;50;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;26.08.2019;605;100;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;09.09.2019;705;100;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;16.09.2019;605;;-100
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;23.09.2019;640;35;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;07.10.2019;990;350;
Switzerland;SUIPA Competition;O45;Jérôme;Faure;FaureJérôme;28.10.2019;1090;100;
Switzerland;SUIPA Competition;O45;Manuel;Faure;FaureManuel;26.03.2018;250;250;
Switzerland;SUIPA Competition;O45;Manuel;Faure;FaureManuel;26.03.2018;300;50;
