Id.de Torneo;Nombre Torneo;Categoria;Sexo;Fecha Torneo;Club1;Club2;Fase;Categ.;Par;Pais1;Pais2;Jugador 1 Race.Apellidos;Jugador 1 Race.Nombre;Jugador 2 Race.Apellidos;Jugador 2 Race.Nombre;Jugador 3 Race.Nombre;Jugador 3 Race.Apellidos;Jugador 4 Race.Nombre;Jugador 4 Race.Apellidos;Set-1-P1;Set-1-P2;Set-2-P1;Set-2-P2;Set-3-P1;Set-3-P2
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Icardo Alcorisa;Sergio;Benavides Ponce de León;José María;Bye;Bye;Bye;Bye;6;0;6;0;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Cardona Botella;Antonio José;Romero Rodríguez;Eduardo;Iago;González Niño;Pelayo;Villaverde Millán;3;6;6;2;4;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Osete Montoro;José;Pérez Luque;Julio;Francisco Javier;Leal Pérez;Enrique;Goenaga García;1;6;3;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;García Campos;David;Braet;Nick;Diego;Gil Batista;Fran;Ramírez Navas;2;6;7;5;1;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Suescún;Nicolás;San Román Gomendio;Pedro;Johan;Bergeron;Javier;López García;6;4;7;5;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Díaz Martín;Juan Carlos;Martos López;Enrique;Pablo José;Díaz Romero;Jairo José;Bautista Ortiz;3;6;3;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Alten;David;Krenn;Christoph;Alfonso;Viuda Hernández;Alfonso;Sánchez Arriaga;2;6;2;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Bye;Bye;Bye;Bye;Pedro;Vera Castillo;Jesús;Moya Sos;0;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Quílez Palleja;Marc;Mercadal Berenguer;Adriá;Bye;Bye;Bye;Bye;6;0;6;0;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Bernal Rodríguez;José Carlos;Huertas Ruiz;José Manuel;Ricardo;Martins;David Antolín;Solla;3;6;6;3;5;7
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Knutsson;Carl;Fernández Fernández;David;Víctor Manuel;Mena Gil;Julio;Sierra Morales;3;6;5;7;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Rocafort ;Manuel;Vasquez;Simon;José;Solano Marmolejo;Diego;Rosell García;1;6;6;2;6;3
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Mouliaa López;José María;Casal Maldonado;Guillermo;Daniel;Luna Peinado;Carlos;Mora Íscar;6;7;4;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Andornino;Martín;Cerezo Casado;Mario;Luis;Ortega Pérez;Manuel;Prado Prego;6;2;6;4;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Díaz García;Raúl;García Rodrigo;Pablo;Pablo;Valín Fernández;Iván;García Aceituno;6;3;6;4;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Bye;Bye;Bye;Bye;Teodoro Víctor;Zapata Pizarro;José Carlos;Gaspar Campos;0;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Ayats Delgado;Arnau;Germán Gutiérrez;Cristian;Bye;Bye;Bye;Bye;6;0;6;0;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Sánchez Sánchez;Rubén;García Jiménez;Gustavo;Cándido Jorge;Alfaro;Daniel;Avilés Cayuela;2;6;5;7;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Bressel Ambrossi;Daniel;Marqués Berdonce;Adrián;Francisco;Arenas Gualda;Patricio Nahuel;Belluati López;7;6;6;3;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Cañasveras Boza;Álvaro;Ruiz Bohórquez;Jesús;Víctor;Sánchez Vera;Marc;Pou Serra;6;3;3;6;6;1
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Meléndez Amaya;Álvaro;Espejo Sánchez;Jesús;Iker;del Valle González;Jacobo;Pérez Cendón;6;2;6;2;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;González Rodríguez;José Luis;Benítez Lara;Miguel;Alejandro;González Pérez;Raúl;Medina López;6;3;7;5;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Windahl;Daniel;Cattaneo;Fabricio;Jorge;Señorán Frutuoso;Luis;Pozo Carballo;6;2;4;6;3;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Bye;Bye;Bye;Bye;Facundo;Domínguez;Vasco;Pascoal;0;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Tison;Benjamin;Scatena;Jeremy;Bye;Bye;Bye;Bye;6;0;6;0;;
