Switzerland;SUIPA Competition;WO;Camille;Aimon;31.12.2018;0;0;;;
Switzerland;SUIPA Competition;WO;Roxane;Alt;30.04.2018;150;150;;;
Switzerland;SUIPA Competition;WO;Roxane;Alt;17.09.2018;250;100;;;
Switzerland;SUIPA Competition;WO;Roxane;Alt;30.04.2019;100;;-150;;
Switzerland;SUIPA Competition;WO;Roxane;Alt;16.09.2019;0;;-100;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;17.09.2018;250;250;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;10.12.2018;350;100;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;18.03.2019;500;150;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;15.04.2019;650;150;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;22.04.2019;675;25;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;24.06.2019;760;85;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;15.07.2019;860;100;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;02.09.2019;1010;150;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;16.09.2019;760;;-250;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;07.10.2019;1110;350;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;09.12.2019;1010;;-100;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;18.03.2020;860;;-150;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;08.04.2020;710;;-150;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;22.04.2020;685;;-25;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;14.06.2020;725;40;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;24.06.2020;640;;-85;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;28.06.2020;740;100;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;15.07.2020;640;;-100;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;02.09.2020;490;;-150;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;12.09.2020;530;40;;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;07.10.2020;180;;-350;;
Switzerland;SUIPA Competition;WO;Stefania;Boffa;24.10.2020;205;25;;;
Switzerland;SUIPA Competition;WO;Claudia;Bogana;23.04.2018;100;100;;;
Switzerland;SUIPA Competition;WO;Claudia;Bogana;22.04.2019;0;;-100;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;26.03.2018;35;35;;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;23.04.2018;70;35;;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;28.05.2018;105;35;;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;25.06.2018;205;100;;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;10.12.2018;355;150;;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;25.03.2019;320;;-35;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;22.04.2019;335;15;;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;22.04.2019;300;;-35;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;27.05.2019;265;;-35;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;24.06.2019;165;;-100;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;16.09.2019;170;5;;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;09.12.2019;20;;-150;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;22.04.2020;5;;-15;;
Switzerland;SUIPA Competition;WO;Claudia;Bräm;16.09.2020;0;;-5;;
Switzerland;SUIPA Competition;WO;Ariane;Burki;31.12.2018;0;0;;;
Switzerland;SUIPA Competition;WO;Cindy;Cailler;29.04.2019;15;15;;;
Switzerland;SUIPA Competition;WO;Cindy;Cailler;26.08.2019;114;99;;;
Switzerland;SUIPA Competition;WO;Cindy;Cailler;29.04.2020;99;;-15;;
Switzerland;SUIPA Competition;WO;Cindy;Cailler;14.06.2020;105;6;;;
Switzerland;SUIPA Competition;WO;Cindy;Cailler;26.08.2020;6;;-99;;
Switzerland;SUIPA Competition;WO;Cindy;Cailler;05.09.2020;12;6;;;
Switzerland;SUIPA Competition;WO;Cindy;Cailler;12.09.2020;15;3;;;
Switzerland;SUIPA Competition;WO;Cécile;Cevey;12.09.2020;3;3;;;
Switzerland;SUIPA Competition;WO;Marion;Claret;29.07.2019;15;15;;;
Switzerland;SUIPA Competition;WO;Marion;Claret;26.08.2019;165;150;;;
Switzerland;SUIPA Competition;WO;Marion;Claret;07.10.2019;264;99;;;
Switzerland;SUIPA Competition;WO;Marion;Claret;14.06.2020;279;15;;;
Switzerland;SUIPA Competition;WO;Marion;Claret;12.07.2020;289;10;;;
